Designator,Val,Package,Mid X,Mid Y,Rotation,Side
R36,0Ω,C_0603_1608Metric,134.25,-115.225,90,top
R37,100k,R_0402_1005Metric,212.05,-146.05,180,top
R38,24.9k,C_0603_1608Metric,210.25,-146.85,-90,top
R39,100k,R_0402_1005Metric,201.3,-146.55,90,top
R40,0Ω,C_0603_1608Metric,135.8,-115.225,90,top
R41,10k,R_0402_1005Metric,137.4,-114.6,-90,top
R42,10k,R_0402_1005Metric,138.95,-111.9,0,top
R43,10k,R_0402_1005Metric,134.8,-105.15,90,top
R44,22.1k,C_0603_1608Metric,137.1,-104.6,-90,top
R45,47.5k,C_0603_1608Metric,138.6,-104.6,-90,top
R46,1k,R_0402_1005Metric,135.8,-105.15,-90,top
R47,10k,R_0402_1005Metric,126.42,-113.5,180,top
R48,22,C_0603_1608Metric,142.9,-116.6,180,top
R49,1k,R_0402_1005Metric,126.42,-115,0,top
R50,100k,R_0402_1005Metric,219.1,-129.1,180,top
R51,1k,R_0402_1005Metric,169.7,-118.55,90,top
R52,4.7k,C_0603_1608Metric,230.35,-133.45,90,top
R53,330mΩ,R_1210_3225Metric,227.4,-124.95,180,top
R54,100k,R_0402_1005Metric,238.8,-129.5,180,top
R55,10k,R_0402_1005Metric,180,-117.4,180,top
R56,330mΩ,R_1210_3225Metric,247.2,-124.9,180,top
R57,330mΩ,R_1210_3225Metric,240.9,-124.9,0,top
R58,330mΩ,R_1210_3225Metric,221.4,-124.95,0,top
R59,4.7k,C_0603_1608Metric,249.1,-133.4,90,top
R60,10k,R_0402_1005Metric,169.8,-110.4,-90,top
R62,10k,R_0402_1005Metric,172.04,-109,0,top
R64,330,C_0603_1608Metric,148.1,-116.3,-90,top
R65,10k,R_0402_1005Metric,180.5,-105.75,0,top
R68,10k,R_0402_1005Metric,173.4,-102.9,90,top
R70,10k,R_0402_1005Metric,171.9,-112.3,180,top
S1,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,141.9375,-100.2,0,top
S2,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,134.2,-100.2,0,top
U2,TXB0104PW,TSSOP-14_4.4x5mm_P0.65mm,164,-130.25,-90,top
U3,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,175.29,-130.45,90,top
U4,MCP2551-I-SN,SOIC-8_3.9x4.9mm_P1.27mm,165,-138.5,180,top
U5,"PCA9554PW,118",PCA9554PW_118,178.1,-102.4,180,top
U6,"PCA9554PW,118",PCA9554PW_118,174.9239,-115.7,180,top
U9,ESP32-WROOM-32E_8N,XCVR_ESP32-WROOM-32E_(16MB),159.35,-110.14,0,top
U10,AMS1117-3.3,SOT-223-3_TabPin2,192.5,-130,90,top
U11,LMR33630ADDAR,LMR33630ADDAR,205.6,-144.1375,0,top
U12,CP2102N-Axx-xQFN28,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,134.8,-109.45,180,top
U13,TMC2209-LA,TMC2209-LA,224.3,-130.8,0,top
U14,TMC2209-LA,TMC2209-LA,244,-131,0,top
U15,SN75176BDR,SN75176BDR,214,-121,90,top
U16,SN75176BDR,SN75176BDR,208.5,-121,90,top
U17,SN75176BDR,SN75176BDR,203,-121,90,top
U18,SN75176BDR,SN75176BDR,195.845,-121,90,top
U19,SN75176BDR,SN75176BDR,190.25,-121,90,top
U20,SN75176BDR,SN75176BDR,184.65,-121,90,top
U21,"PCA9554PW,118",PCA9554PW_118,176.9,-109.1,180,top
Y1,8 Mhz,Crystal_SMD_HC49-SD,178.5,-139.5,180,top
